Service,Category,Funnel_URL
Brand,Vertical,
12 min,"Self-improvement, microlearning",https://onboarding.12min.com/start?lng=en
7 Motifs,Nutrition and diet,https://longevity.7motifs.com/survey_v2/survey/0
Acely,Edtech,https://acely.ai/ace-the-act-quiz/
Addmile,"Mental, ADHD, Habits, Trauma",https://www.myaddmile.com/
Addmile,"Relations, Dating",https://www.myaddmile.com/landing/relationships
Affemity ,"Relations, Dating",https://affemity.com/l/B870sW?utm_adset_id=120214441226650278&utm_ad_id=120214441226780278&site_source_name=ig-Instagram_Reels&utm_adname=af_%40number%3D9996%40creator%3DVioletta%40topic%3Dhtttm%40concept%3Dtext%40type%3Dstatic%401x1_2&utm_adset=fb_5556_T1_WW_BC65_All_TopSTAT_3_02.01.25+DP+idk8148961&utm_campaign=120214441226630278&utm_campaign_type=datingcoach&utm_source=Facebook&campaign_name=fb_5556_T1_WW_BC65_All_TopSTAT_02.01.25+DP+idk8148961
Ahead,"Mental, ADHD, Habits, Trauma",https://ahead-app.com/sat/question?qpid=58&qid=4
AI girls,AI characters,https://ai-gf-fun.fnlfx.com/onewall15/
AI husband,AI characters,https://aihusband.app/ameo-cb19e
AI Jesus,Religion,https://myjoygames.com/ai-powered-jesus/
Ai Voronka,"Self-improvement, microlearning",https://ai-voronka.ru/1minipromo
Aligned,"Self-improvement, microlearning",https://aligned.guru/quiz-v2
Alomoves,Fitness,https://www.alomoves.com/surveys/onboarding
Alowellness,Nutrition and diet,https://app2.alowellness.com/woman/start
Alpacards,Language Learning,https://alpacards.shop/page-2/ukr
Angel Oasis,"Astrology, Human Design, Compatibility",https://angeloasis.com/who-is-my-guardian-angel/?utm_medium=paid&utm_id=23844820579250217&utm_content=23845300120960217&utm_term=23845300120850217&utm_campaign=23844820579250217&utm_source=facebook&campaign_id=23844820579250217&ad_id=23845300120960217
Anxious Anonymus Method,"Mental, ADHD, Habits, Trauma",http://www.yournextmindset.com/
Apt,Income,https://www.tryapt.ai/quiz
Asana Rebel,Fitness,https://get.asanarebel.com/pages/goals
ASL Bloom,Language Learning,https://app.aslbloom.com/
Aspect Health,Health,https://quiz.aspect-health.com/
Astroline,"Astrology, Human Design, Compatibility",https://sub.astroline.today/quiz-pp
Atly,Services,https://web.atly.com/gfe/finding-good-gluten-free-options
Atria,"Astrology, Human Design, Compatibility",https://sub.atria.mobi/quiz-pp/
Aurora,Parenting,https://quiz.aurorafirst.ai/adhd-adult-pw2
Aurora,Parenting,https://quiz.aurorafirst.ai/
Babbel,Language Learning,https://my.babbel.com/en/welcome/0?learn_lang=RUS&skipValueProps&skipInterstitial
Baby Book,Parenting,https://welcome.baby/start?qz=wb1&locale=EU
Baby Face,Health,https://babyface.yoga/start?qz=bf1&locale=EN
Balance,"Mental, ADHD, Habits, Trauma",https://get.balanceapp.com/onboarding/select_goals
Barney,"Relations, Dating",https://boostrizz.com/
Be Blessed,Religion,https://wf.beblessed.me/it-4-2-9-1/
Best Me Fasting,Nutrition and diet,https://fasting.best.me/ww-en/g-27m-usd-metric/0-landing/?utm_source=facebook&utm_medium=cpc&utm_campaign=fbm_ww_pipe_test_manual_cbo_from-project-wide_28-jul&utm_content=image&utm_term=mz89&fb_ads_id=120225607529360395&fb_adset_id=120225607529330395&utm_id=120225607529270395&fbclid=PAQ0xDSwL0pYNleHRuA2FlbQEwAGFkaWQBqyCNpLy9iwGnXDRia2xhl59qOpiZZjespmYaM1KN-B6eckU1V5xh_bQ8Qwsj8gmhgsymR-w_aem_1UbfTvM6Lga4esyFG0GaNw
Better Kids,Parenting,https://better-kids.com/ru/onboarding/
Betterme,Fitness,https://betterme-chair-yoga.com/first-page-generated?flow=2160
Betterme,Fitness,https://betterme-chair-yoga.com/first-page-generated?flow=2161
Betterme,Fitness,https://betterme-chair-yoga.com/first-page-generated?flow=2271
Betterme,Fitness,https://betterme-calisthenics.com/en/first-page-generated?flow=1500
Betterme,Fitness,https://betterme-pilates.com/first-page-generated?flow=1416
Betterme,Fitness,https://betterme-pilates.com/first-page-generated?flow=2472
Betterme,Fitness,https://betterme-walking-workouts.com/first-page-generated?flow=2170
Betterme,Fitness,https://betterme-betterwoman.com/first-page-generated?flow=2434
Betterme,Fitness,https://betterme-treadmill.com/first-page-generated?flow=2225
Betterme,Nutrition and diet,https://betterme-meal-plan.com/first-page-generated?flow=2578
Betterme,Nutrition and diet,https://betterme-fasting.com/first-page-generated?flow=1443
Betterme ADHD,"Mental, ADHD, Habits, Trauma",https://betterme-mind-coaching.com/en/first-page-generated?flow=2910
Betterme ADHD,"Mental, ADHD, Habits, Trauma",https://betterme-antiburnout.com/en/first-page-generated?flow=2635
Betterme ADHD,"Mental, ADHD, Habits, Trauma",https://betterme-antiprocrastination.com/en/procrastination/first-page-gender-redesign?flow=2290
Betterme Chakras,"Astrology, Human Design, Compatibility",https://betterme-chakras.com/en/chakras/first-page-gender-v2?flow=2234
Betterme Creators,Income,https://creators.betterme.world/quiz/flows/2629
Betterme Leanme,"Physical goods, ecommerce",https://betterme-diets.com/first-page-leanme-landing?flow=3083
Betterme Relations,"Relations, Dating",https://mind.betterme.world/en/first-page-generated?flow=2448
Beyond Body,Fitness,https://woman.beyondbody.me/115
Beyond Body,Nutrition and diet,https://keto.beyondbody.me/508
Bible Chat,Religion,https://quiz.thebiblechat.com/god-given-spiritual-gift-3/iamjj8bx/?aid=%7B%7Bad.name%7D%7D&life_challange=purpose&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_source=facebook&placement=%7B%7Bad.name%7D%7D&fpid=01JTBPVVWZS8AVCVZ6ZEMK8FHK&fsid=01JTBPVVWZZ4NYEPQJFHZ3MFXH
Bible Path,Religion,https://holy-bible.app/onboarding
Bioma,"Physical goods, ecommerce",https://bioma.health/weight-loss-short
Birthchart,"Astrology, Human Design, Compatibility",https://birthchart.com/birth-chart-questions/?utm_medium=paid&utm_source=ig&utm_id=120213654051520087&utm_content=120215837003110087&utm_term=120215836489950087&utm_campaign=120213654051520087&fbclid=PAZXh0bgNhZW0BMABhZGlkAasXwmbta_cBpuH9msJh1YjvH05p2Zos9hchIV45f-Y9JDyNq8pKnhBf2gZO_alQdx4izQ_aem_dM_ZzWcRvDCFiOiG86q1cg
bitStudio,Photo Video,https://bitstudio.ai/?utm_medium=paid&utm_source=ig&utm_id=120215765888520319&utm_content=120215946853880319&utm_term=120215765888530319&utm_campaign=120215765888520319
Blesse,Religion,https://blesse.co/perfect-prayer
Blessed Paths,Religion,https://quiz.blessedpaths.com/?cohort=flow1_bb_60sa_20m
Blinkist,"Self-improvement, microlearning",https://www.blinkist.com/en/onboarding/quiz/age
Blossomup,IQ test,https://blossomup.co/
Blushed,AI characters,https://quiz.blushedapp.com/
Blushed,AI characters,https://funnel.youraifriend.com/
Bodyfast,Nutrition and diet,https://my.bodyfast.app/onboarding/loading
Bold Voice,Language Learning,https://start.boldvoice.com/join/name
Botify,AI characters,https://onboarding.botify.ai/bot-builder-funnel/
Brainary,IQ test,https://myjoygames.com/brainary-virtual/
Brainbloom,"Self-improvement, microlearning",https://quiz.brainbloom.me/qz2?utm_source=%7B%7Bsite_source_name%7D%7D&utm_medium=%7B%7Bplacement%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=main&AdSetName=%7B%7Badset.name%7D%7D&AdName=%7B%7Bad.name%7D%7D&CampaignID=%7B%7Bcampaign.id%7D%7D&AdSetID=%7B%7Badset.id%7D%7D&AdID=%7B%7Bad.id%7D%7D
Brainway,"Mental, ADHD, Habits, Trauma",https://brainway.app/start?qz=pro1
Brajti,"Self-improvement, microlearning",https://brajti.com/quiz/brajti_gender?cc=mt&lg=en&utm_source=ig&utm_medium=pso&utm_placement=Instagram_Stories&utm_campaign=MG-Brajti-180725-SUB(EU)&utm_content=ad1&utm_campaignid=120228976463070633&utm_adgroupid=120229124744140633&utm_creative=120229124744130633&sub=true&utm_id=120228976463070633&utm_term=120229124744140633&fbclid=PAQ0xDSwLnR8lleHRuA2FlbQEwAGFkaWQBqyPA-dba6QGnHdlhe48B9TR7UcNAvvzqMKGrzR8Oad6ep3IZ0NBI2Kidfby2ZvKdPr9Tldw_aem_0ivgoPq2bxDJHiOkYwwNfA
Brighterly,Parenting,https://app.brighterly.com/booking/personalized-winter-quiz
Cactus Quiz,Nutrition and diet,https://quiz.guiavidasaudavel.site/
